prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
31,3101,東部,228.66666666666666,2276499.3333333335,1.004466214061414,2
02,0204,西北五地域,228.33333333333334,1150538.3333333333,1.9845782336674285,1
37,3706,東部,224.33333333333334,6684281.0,0.335613259426606,1
26,2602,中丹,213.66666666666666,1912061.0,1.1174678353183642,1
08,0803,常陸太田・ひたちなか,211.66666666666666,3254840.6666666665,0.6503134510834222,1
34,3403,呉,210.33333333333334,3110777.0,0.6761440416118973,1
46,4610,肝属,208.33333333333334,1734844.6666666667,1.200876005421427,1
04,0409,石巻・登米・気仙沼,203.33333333333334,3432879.0,0.5923113903325266,0
41,4102,東部,198.66666666666666,1464105.3333333333,1.3569151217717488,2
42,4203,県央,186.0,3313736.6666666665,0.5612998820063152,2
42,4202,佐世保県北,185.66666666666666,3540672.3333333335,0.5243825160513299,1
22,2204,富士,182.0,4138870.6666666665,0.439733479631964,1
10,1003,伊勢崎,181.33333333333334,2590381.3333333335,0.7000256332915721,1
43,4302,宇城,177.66666666666666,1069770.3333333333,1.66079261249533,1
10,1002,渋川,177.33333333333334,1165058.3333333333,1.5220983212571617,1
43,4311,天草,175.33333333333334,1261699.0,1.3896605555947446,0
24,2404,東紀州,175.0,602293.6666666666,2.905559358917383,0
41,4104,西部,174.33333333333334,901082.6666666666,1.9347096529804149,1
45,4505,西諸,162.66666666666666,928750.0,1.7514580529385375,1
12,1206,山武長生夷隅,162.66666666666666,3854659.0,0.42200014752710074,1
44,4406,豊肥,153.66666666666666,616215.0,2.493718372104974,1
40,4005,朝倉,152.33333333333334,933969.3333333334,1.631031425728468,2
36,3603,南部,152.0,1490160.0,1.0200246953347292,1
03,0305,気仙,147.33333333333334,533126.3333333334,2.763572611619885,1
41,4103,北部,147.33333333333334,1558669.6666666667,0.9452505330934992,1
09,0902,県西,145.66666666666666,1552301.3333333333,0.9383916868374353,1
46,4611,熊毛,142.0,300153.6666666667,4.730910056071279,1
02,0205,上十三地域,141.0,1827874.6666666667,0.7713876808475562,1
25,2504,東近江,138.0,2182033.6666666665,0.6324375380092669,1
47,4705,八重山,136.33333333333334,493060.0,2.765045498181425,2
20,2002,上小,124.66666666666667,1999284.6666666667,0.6235563586576133,1
38,3806,宇和島,121.66666666666667,1317795.6666666667,0.9232589675637624,1
17,1704,能登北部,120.0,479309.0,2.503604146803002,1
20,2004,上伊那,120.0,1750726.3333333333,0.6854297997078928,1
34,3405,尾三,112.66666666666667,2808404.3333333335,0.40117680110876724,2
07,0703,県南,108.0,1303498.3333333333,0.8285396094356341,1
43,4308,八代,105.33333333333333,1728909.0,0.6092474117106992,1
32,3206,益田,97.33333333333333,733280.3333333334,1.3273686598258692,2
01,0110,東胆振,96.66666666666667,2058706.3333333333,0.46955053812920383,2
08,0802,日立,94.66666666666667,2262221.0,0.4184678095847694,2
35,3502,柳井,90.33333333333333,884657.6666666666,1.021110614162239,1
36,3605,西部,87.0,700712.0,1.2415942641199238,1
45,4506,西都児湯,83.0,844295.0,0.9830687141342778,1
18,1803,丹南,82.33333333333333,1524243.3333333333,0.5401587235633856,1
22,2202,熱海伊東,80.66666666666667,1254297.3333333333,0.6431223643941948,1
25,2503,甲賀,79.0,1280895.0,0.6167562524640974,1
43,4310,球磨,78.66666666666667,1002200.3333333334,0.7849395380364738,1
20,2008,大北,76.66666666666667,538265.0,1.4243294040419991,1
05,0502,北秋田,74.33333333333333,272494.3333333333,2.727885472847753,1
01,0106,南空知,70.33333333333333,1459295.0,0.48196789088795156,1
38,3802,新居浜・西条,69.66666666666667,2507722.0,0.2778085715508604,1
03,0309,二戸,68.33333333333333,497345.6666666667,1.3739605653211013,1
31,3103,西部,65.66666666666667,2835161.6666666665,0.23161524592659916,2
25,2505,湖東,65.33333333333333,1406606.3333333333,0.4644748980939704,2
01,0108,北空知,64.33333333333333,259082.66666666666,2.483119930832887,0
